"image","n_subjects","mean","sd","median","min","max"
"2703.jpg",11,4.63636363636364,2.41961679911209,5,1,9
"2704.jpg",11,3.81818181818182,2.52262489554756,3,0,7
"2717.jpg",11,4.54545454545455,2.1616492020509,5,1,7
"2751.jpg",11,3.27272727272727,2.4936282437809,3,0,9
"2780.jpg",11,5.18181818181818,1.72152152575458,6,1,7
"2799.jpg",11,3.81818181818182,2.31595258233764,4,0,6
"2800.jpg",11,6.54545454545455,1.86352549559357,7,3,9
"2811.jpg",11,5.81818181818182,2.04049904769308,6,1,9
"3181.jpg",11,5.36363636363636,2.41961679911209,6,1,9
"3210.jpg",11,4.36363636363636,3.07482445914323,4,0,9
"3215.jpg",11,5.18181818181818,2.44205576587357,6,1,9
"3225.jpg",11,6.54545454545455,1.9679246105294,7,3,9
"3266.jpg",11,8.27272727272727,1.1037127426019,9,6,9
"3280.jpg",11,3.72727272727273,2.41209075662211,4,0,7
"3500.jpg",11,5.90909090909091,2.02259958738973,6,3,9
"3530.jpg",11,7.27272727272727,2.00454030096225,8,3,9
"3550.jpg",11,6.36363636363636,2.54057974772402,7,1,9
"4503.jpg",11,1.81818181818182,2.44205576587357,1,0,7
"5520.jpg",11,1.81818181818182,1.94000937204859,2,0,6
"5628.jpg",11,3.27272727272727,2.28433399882369,4,0,7
"5900.jpg",11,1.36363636363636,1.6292775867069,1,0,5
"5920.jpg",11,4.81818181818182,2.35873617932069,5,0,9
"5940.jpg",11,5.45454545454545,2.87623491264661,7,0,9
"5950.jpg",11,3.81818181818182,1.83402190925746,4,1,6
"5972.jpg",11,3.45454545454545,2.62158869251591,3,0,9
"6242.jpg",11,5.36363636363636,2.01359019031814,5,2,9
"6243.jpg",11,5.18181818181818,1.60113596038449,5,3,8
"6300.jpg",11,5.09090909090909,2.50816847339031,6,1,9
"6311.jpg",11,4.54545454545455,2.25227158058864,5,1,7
"6312.jpg",11,4.54545454545455,2.38174878455459,5,1,8
"6313.jpg",11,6.63636363636364,1.80403587950613,7,3,9
"6315.jpg",11,5.36363636363636,2.06265495285699,5,2,8
"6415.jpg",11,6.27272727272727,2.45319828350295,7,1,9
"6540.jpg",11,6.09090909090909,1.81408629643385,6,3,9
"6571.jpg",11,5.63636363636364,1.85864075456917,6,3,9
"6821.jpg",11,6.18181818181818,2.08893187146837,7,3,9
"6836.jpg",11,4.72727272727273,2.2401298663653,5,0,7
"6838.jpg",11,4.63636363636364,2.97565882697352,5,0,8
"6840.jpg",11,4,2.82842712474619,3,0,9
"6900.jpg",11,3.36363636363636,2.37792881612244,3,0,7
"6940.jpg",11,6.45454545454545,1.80906806746658,7,3,8
"7054.jpg",11,2.09090909090909,2.11917651244749,1,0,5
"7361.jpg",11,6.72727272727273,2.83163942234562,8,0,9
"7380.jpg",11,5.27272727272727,1.00904995821903,5,4,7
"7640.jpg",11,5.36363636363636,3.13919503289386,6,1,9
"8160.jpg",11,5.36363636363636,3.0090771765685,5,2,9
"8179.jpg",11,4.09090909090909,2.7001683449202,4,1,8
"9050.jpg",11,6,1.78885438199983,6,3,9
"9102.jpg",11,4.18181818181818,2.13626692237566,5,1,7
"9250.jpg",11,5.27272727272727,2.05382127220988,5,3,8
"9270.jpg",11,3.81818181818182,2.35873617932069,3,0,8
"9280.jpg",11,2.81818181818182,1.66241882918727,3,0,5
"9402.jpg",11,5.36363636363636,2.41961679911209,6,1,9
"9419.jpg",11,5.27272727272727,2.37027041035022,5,2,9
"9423.jpg",11,6.45454545454545,1.86352549559357,7,3,8
"9424.jpg",11,4.81818181818182,2.48266718744909,5,0,8
"9427.jpg",11,5.18181818181818,2.13626692237566,6,1,8
"9428.jpg",11,6.45454545454545,1.9679246105294,6,2,9
"9429.jpg",11,5,2.14476105895272,4,1,8
"9440.jpg",11,6,2.68328157299975,6,0,9
"9594.jpg",11,4,1.67332005306815,4,1,7
"9600.jpg",11,5.36363636363636,2.83805310988809,5,1,9
"9810.jpg",11,5.18181818181818,2.56195947736032,6,1,9
"9901.jpg",11,4.45454545454545,1.6348477827392,5,2,7
"9910.jpg",11,5.54545454545455,1.91643608626202,6,2,8
"9926.jpg",11,3.81818181818182,2.13626692237566,4,1,7
